<pre>DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
10:23.7,36.0245,-120.61083,3.073,1.41,Md,5,172,14,0.02,NCSN,1005366
06:50.0,36.0885,-120.7,3.224,1.79,Md,7,157,3,0.01,NCSN,1005368
08:37.2,36.28483,-120.864,8.287,3.75,Md,9,146,11,0.03,NCSN,1005375
39:50.9,36.13633,-120.7045,3.158,3.19,Md,5,131,3,0.02,NCSN,1005376
12:49.5,36.095,-120.67133,3.691,2.69,Md,7,126,5,0.05,NCSN,1005393
25:31.0,36.34367,-120.9165,3.698,2.72,Md,8,114,9,0.06,NCSN,1005417
10:03.2,36.25083,-120.827,5.438,2.19,Md,6,134,14,0.01,NCSN,1005432
36:26.1,36.21917,-120.31467,7.671,2.5,Md,9,188,33,0.05,NCSN,1005479
12:14.9,36.00067,-120.879,8.198,1.73,Md,5,169,18,0.02,NCSN,1005487
45:53.0,36.00933,-120.60017,2.675,1.65,Md,6,166,13,0.08,NCSN,1005491
41:50.4,36.2795,-120.86916,0.578,3.19,Md,7,122,11,0.17,NCSN,1005504
55:38.2,36.25017,-120.81883,8.44,2.28,Md,6,151,14,0.02,NCSN,1005513
47:38.5,36.04033,-120.61517,5.635,1.82,Md,8,169,12,0.04,NCSN,1005519
10:07.5,36.24067,-120.80566,9.336,2.77,Md,13,141,3,0.05,NCSN,1005523
48:02.2,35.88167,-120.43034,9.765,2.04,Md,6,118,2,0.05,NCSN,1005527
17:49.9,36.00717,-120.87283,9.425,1.12,Md,6,165,18,0.02,NCSN,1005529
37:34.4,35.9255,-120.47533,3.796,1.19,Md,4,166,2,0,NCSN,1005536
11:27.0,35.99117,-120.89367,13.065,2.81,Md,11,174,20,0.06,NCSN,1005543
25:58.6,36.04984,-120.64667,2.995,1.73,Md,8,149,10,0.02,NCSN,1005562
19:52.1,36.07167,-120.65266,4.515,3.67,Md,12,154,8,0.06,NCSN,1005586
02:05.9,36.26167,-120.6525,10.94,3.23,Md,9,206,13,0.08,NCSN,1005588
44:49.9,36.23983,-120.80833,4.966,1.83,Md,6,155,3,0.05,NCSN,1005600
05:11.2,36.00583,-120.88233,13.705,3.01,Md,17,167,18,0.07,NCSN,1005616
06:31.5,35.86133,-120.41183,4.466,1.18,Md,4,125,2,0,NCSN,1005641
28:42.3,36.23967,-120.80283,5.455,2.35,Md,8,142,3,0.03,NCSN,1005655
00:42.1,36.24317,-120.80733,5.205,2.67,Md,8,154,3,0.04,NCSN,1005668
46:01.5,36.284,-120.85267,6.805,1.76,Md,6,129,9,0.03,NCSN,1005672
45:56.9,36.34083,-120.40784,6.034,3.2,ML,24,219,32,0.14,NCSN,1005673
41:24.9,36.23017,-120.835,6.445,1.84,Md,7,127,4,0.05,NCSN,1005675
29:54.1,36.02467,-120.58733,6.368,2.81,Md,11,158,13,0.08,NCSN,1005677
44:10.3,36.02667,-120.59184,6.295,2.3,Md,8,171,14,0.04,NCSN,1005678
46:57.3,36.02333,-120.598,4.945,1.93,Md,8,166,14,0.02,NCSN,1005679
28:28.5,36.3115,-120.45233,4.466,2.72,Md,9,245,33,0.08,NCSN,1005682
01:47.6,36.01817,-120.59433,5.74,1.38,Md,7,165,14,0.03,NCSN,1005687
18:13.1,36.00783,-120.87317,12.325,1.53,Md,7,165,18,0.03,NCSN,1005690
46:33.1,36.24533,-120.81133,5.866,2.8,Md,12,139,4,0.06,NCSN,1005698
41:26.5,36.0175,-120.58617,4.385,1.67,Md,8,168,13,0.04,NCSN,1005704
08:40.2,35.94167,-120.48367,10.46,1.82,Md,7,105,1,0.07,NCSN,1005730
40:19.7,35.966,-120.52666,7.605,1.71,Md,8,156,5,0.05,NCSN,1005746
37:32.9,35.99683,-120.56333,4.985,2.21,Md,8,165,10,0.03,NCSN,1005754
39:34.0,36.227,-120.79217,4.536,2.6,Md,7,162,1,0.07,NCSN,1005769
25:22.9,35.85833,-120.4045,4.375,2.03,Md,6,140,3,0.02,NCSN,1005784
24:33.3,35.859,-120.40334,4.985,2.58,Md,7,143,3,0.05,NCSN,1005796
14:02.9,36.1965,-120.7595,8.016,3.56,Md,8,152,4,0.03,NCSN,1005803
30:58.5,36.305,-120.87583,6.616,3.59,Md,10,111,9,0.03,NCSN,1005811
12:21.1,35.94383,-120.48617,10.495,2.3,Md,8,122,1,0.07,NCSN,1005848
44:06.5,36.24133,-120.8065,5.204,2.32,Md,8,141,3,0.06,NCSN,1005860
13:08.2,36.05467,-120.64,3.201,1.67,Md,8,141,10,0.07,NCSN,1005869
55:48.0,36.03567,-120.62,5.311,1.92,Md,5,165,12,0.02,NCSN,1005878
26:22.0,36.05067,-120.63233,6.478,2.33,Md,8,154,11,0.07,NCSN,1005881
26:46.2,36.00217,-120.589,5.335,2.21,Md,6,159,12,0.01,NCSN,1005900
